dias_favoraveis_ferrugem,fator_suscetibilidade,aplicou_fungicida_preventivo,probabilidade_ferrugem,teve_ferrugem_real
43,1.6,0,0.904048666292989,1
41,1.6,0,0.8947357643365957,1
41,1.6,0,0.8947357643365957,1
41,1.6,0,0.8947357643365957,1
40,1.6,0,0.8897863913654146,1
37,1.6,0,0.8737003289120091,1
34,1.6,0,0.8556473425387886,1
33,1.6,0,0.8491699090636298,1
27,1.6,0,0.8052040722106287,1
43,1.0,0,0.7978562605958786,0
26,1.6,0,0.7970001439271449,0
25,1.6,0,0.78854143982013,1
40,1.0,0,0.7717939048386164,1
23,1.6,0,0.7708591095678404,1
23,1.6,0,0.7708591095678404,0
38,1.0,0,0.7531495366455447,1
38,1.0,0,0.7531495366455447,0
42,1.6,1,0.7368920896082397,0
41,1.6,1,0.7267873564200882,1
33,1.0,0,0.702245278501274,1
33,1.0,0,0.702245278501274,1
15,1.6,0,0.6902352108639936,0
37,1.6,1,0.6840417420496684,1
37,1.6,1,0.6840417420496684,1
30,1.0,0,0.6689703190361384,1
43,0.5,0,0.6565308147814523,0
12,1.6,0,0.6562750326016823,1
34,1.6,1,0.6497471138681588,1
28,1.0,0,0.6457808236719602,0
28,1.0,0,0.6457808236719602,0
28,1.0,0,0.6457808236719602,1
28,1.0,0,0.6457808236719602,1
42,0.5,0,0.6448273405106012,0
33,1.6,1,0.6379399629832002,0
27,1.0,0,0.6339153006876109,1
41,0.5,0,0.6329480319593267,0
10,1.6,0,0.6326845132934984,1
40,0.5,0,0.6209049875697948,1
40,0.5,0,0.6209049875697948,0
31,1.6,1,0.6138315289755019,1
31,1.6,1,0.6138315289755019,0
8,1.6,0,0.6084409263442798,0
30,1.6,1,0.6015561041125049,1
30,1.6,1,0.6015561041125049,1
37,0.5,0,0.5839257680908835,0
28,1.6,1,0.5766327933312686,1
28,1.6,1,0.5766327933312686,1
36,0.5,0,0.5713635328995522,1
27,1.6,1,0.5640147714789726,1
27,1.6,1,0.5640147714789726,0
21,1.0,0,0.5597354764594361,0
43,1.0,1,0.5526239521875097,0
43,1.0,1,0.5526239521875097,1
42,1.0,1,0.539861369687245,1
42,1.0,1,0.539861369687245,0
41,1.0,1,0.5270462978759579,0
40,1.0,1,0.5141954887477611,0
40,1.0,1,0.5141954887477611,1
39,1.0,1,0.5013258827180761,0
30,0.5,0,0.4946138211476315,0
30,0.5,0,0.4946138211476315,1
21,1.6,1,0.48713034976436576,1
37,1.0,1,0.47559844860290257,1
37,1.0,1,0.47559844860290257,0
37,1.0,1,0.47559844860290257,1
20,1.6,1,0.47427681788865544,1
36,1.0,1,0.4627746378827103,0
36,1.0,1,0.4627746378827103,0
36,1.0,1,0.4627746378827103,1
19,1.6,1,0.4614572845599855,1
26,0.5,0,0.4433640424272716,0
34,1.0,1,0.4372907316902736,1
16,1.6,1,0.423369013962629,1
32,1.0,1,0.41213358985924414,1
15,1.6,1,0.4108501475527791,1
15,1.6,1,0.4108501475527791,0
31,1.0,1,0.3997166530797983,0
31,1.0,1,0.3997166530797983,0
31,1.0,1,0.3997166530797983,1
8,1.0,0,0.3942865219854517,0
30,1.0,1,0.38742727051461273,1
13,1.6,1,0.38617022586784616,0
13,1.6,1,0.38617022586784616,1
43,0.5,1,0.37430338490932646,1
43,0.5,1,0.37430338490932646,0
28,1.0,1,0.3632867601605472,1
42,0.5,1,0.3623237337899531,0
27,1.0,1,0.35146164444894706,0
27,1.0,1,0.35146164444894706,0
27,1.0,1,0.35146164444894706,1
27,1.0,1,0.35146164444894706,0
41,0.5,1,0.35051270838884985,0
41,0.5,1,0.35051270838884985,1
10,1.6,1,0.3502545708937949,0
26,1.0,1,0.33981601180755666,0
40,0.5,1,0.3388820887067733,0
39,0.5,1,0.3274428272441923,0
37,0.5,1,0.30517788917808747,0
14,0.5,0,0.30038938034707896,0
21,1.0,1,0.28463553562203486,1
21,1.0,1,0.28463553562203486,0
21,1.0,1,0.28463553562203486,0
35,0.5,1,0.28378807598600453,0
33,0.5,1,0.26332928677136264,0
31,0.5,1,0.243843256534738,0
29,0.5,1,0.22535805723005575,1
14,1.0,1,0.21720345253447176,0
27,0.5,1,0.20788891582746735,0
26,0.5,1,0.19953687075634025,1
10,1.0,1,0.18422014610714454,0
23,0.5,1,0.17600204079562876,0
23,0.5,1,0.17600204079562876,0
8,1.0,1,0.169243195088399,0
22,0.5,1,0.1686582984334822,0
21,0.5,1,0.16156089647438313,0
20,0.5,1,0.15470658393543504,1
10,0.5,1,0.09858112442645048,0
10,0.5,1,0.09858112442645048,0
8,0.5,1,0.08980014603097951,0
8,0.5,1,0.08980014603097951,0
